Unnamed: 0,participant,correct_resp,resp,stim_interval,rt,vivid_report,correct,participant_hr,stim_hr,resp_hr,dur_hr,viv_hr
0,h,1.0,1.0,0.2,0.0865140419919043,2.0,1.0,0.6666666666666666,0.7614678899082569,0.5684931506849316,0.625,0.5421686746987951
1,h,2.0,1.0,0.475,2.5899946659919806,2.0,0.0,0.6666666666666666,0.5333333333333333,0.5684931506849316,0.6153846153846154,0.5421686746987951
2,h,1.0,1.0,0.05,1.3464393750182353,2.0,1.0,0.6666666666666666,0.7614678899082569,0.5684931506849316,0.5789473684210527,0.5421686746987951
3,h,1.0,2.0,0.2,2.433327208040282,3.0,0.0,0.6666666666666666,0.7614678899082569,0.7346938775510204,0.625,0.6666666666666666
4,h,1.0,1.0,0.35,1.6421094160177745,3.0,1.0,0.6666666666666666,0.7614678899082569,0.5684931506849316,0.875,0.6666666666666666
5,h,2.0,1.0,0.45,3.3227983330143616,3.0,0.0,0.6666666666666666,0.5333333333333333,0.5684931506849316,0.6666666666666666,0.6666666666666666
6,h,1.0,1.0,0.35,2.994486748997588,2.0,1.0,0.6666666666666666,0.7614678899082569,0.5684931506849316,0.875,0.5421686746987951
7,h,2.0,2.0,0.325,3.453080790990498,3.0,1.0,0.6666666666666666,0.5333333333333333,0.7346938775510204,0.6,0.6666666666666666
8,h,1.0,1.0,0.225,1.2758654989884235,2.0,1.0,0.6666666666666666,0.7614678899082569,0.5684931506849316,0.5,0.5421686746987951
9,h,1.0,2.0,0.3,1.053058208024595,2.0,0.0,0.6666666666666666,0.7614678899082569,0.7346938775510204,0.6363636363636364,0.5421686746987951
10,h,2.0,1.0,0.3,1.8868311670375988,2.0,0.0,0.6666666666666666,0.5333333333333333,0.5684931506849316,0.6363636363636364,0.5421686746987951
11,h,1.0,1.0,0.075,2.3576529159909114,1.0,1.0,0.6666666666666666,0.7614678899082569,0.5684931506849316,0.7272727272727273,0.4117647058823529
12,h,1.0,2.0,0.4,1.1733324580127371,2.0,0.0,0.6666666666666666,0.7614678899082569,0.7346938775510204,0.5454545454545454,0.5421686746987951
13,h,2.0,1.0,0.475,2.101749207999092,2.0,0.0,0.6666666666666666,0.5333333333333333,0.5684931506849316,0.6153846153846154,0.5421686746987951
14,h,2.0,1.0,0.05,1.0129007499781435,1.0,0.0,0.6666666666666666,0.5333333333333333,0.5684931506849316,0.5789473684210527,0.4117647058823529
15,h,2.0,2.0,0.2,0.7729000420076773,3.0,1.0,0.6666666666666666,0.5333333333333333,0.7346938775510204,0.625,0.6666666666666666
16,h,2.0,2.0,0.35,2.457086333015468,3.0,1.0,0.6666666666666666,0.5333333333333333,0.7346938775510204,0.875,0.6666666666666666
17,h,1.0,1.0,0.15,1.7754967489745468,2.0,1.0,0.6666666666666666,0.7614678899082569,0.5684931506849316,0.7142857142857143,0.5421686746987951
18,h,2.0,1.0,0.25,1.3435866669751704,3.0,0.0,0.6666666666666666,0.5333333333333333,0.5684931506849316,0.7333333333333333,0.6666666666666666
19,h,1.0,1.0,0.25,2.055038125021383,2.0,1.0,0.6666666666666666,0.7614678899082569,0.5684931506849316,0.7333333333333333,0.5421686746987951
20,h,2.0,1.0,0.425,1.1579309160006233,3.0,0.0,0.6666666666666666,0.5333333333333333,0.5684931506849316,0.4166666666666667,0.6666666666666666
21,h,1.0,2.0,0.15,1.6361445410293527,2.0,0.0,0.6666666666666666,0.7614678899082569,0.7346938775510204,0.7142857142857143,0.5421686746987951
22,h,2.0,1.0,0.45,0.6105516669922508,3.0,0.0,0.6666666666666666,0.5333333333333333,0.5684931506849316,0.6666666666666666,0.6666666666666666
23,h,2.0,2.0,0.35,2.484514083014801,3.0,1.0,0.6666666666666666,0.5333333333333333,0.7346938775510204,0.875,0.6666666666666666
24,h,1.0,1.0,0.475,0.8490926240338013,4.0,1.0,0.6666666666666666,0.7614678899082569,0.5684931506849316,0.6153846153846154,0.7647058823529411
25,h,2.0,2.0,0.05,1.9447749580140223,2.0,1.0,0.6666666666666666,0.5333333333333333,0.7346938775510204,0.5789473684210527,0.5421686746987951
26,h,2.0,1.0,0.125,2.5127169159823097,1.0,0.0,0.6666666666666666,0.5333333333333333,0.5684931506849316,0.5789473684210527,0.4117647058823529
27,h,1.0,1.0,0.15,1.887847124016844,2.0,1.0,0.6666666666666666,0.7614678899082569,0.5684931506849316,0.7142857142857143,0.5421686746987951
28,h,2.0,1.0,0.075,1.2379474579938687,2.0,0.0,0.6666666666666666,0.5333333333333333,0.5684931506849316,0.7272727272727273,0.5421686746987951
29,h,1.0,1.0,0.2,2.8730861239600927,2.0,1.0,0.6666666666666666,0.7614678899082569,0.5684931506849316,0.625,0.5421686746987951
30,h,1.0,1.0,0.45,0.5368281239643693,4.0,1.0,0.6666666666666666,0.7614678899082569,0.5684931506849316,0.6666666666666666,0.7647058823529411
31,h,1.0,1.0,0.125,2.6731761670089327,2.0,1.0,0.6666666666666666,0.7614678899082569,0.5684931506849316,0.5789473684210527,0.5421686746987951
32,h,1.0,1.0,0.3,3.9802587919984944,1.0,1.0,0.6666666666666666,0.7614678899082569,0.5684931506849316,0.6363636363636364,0.4117647058823529
33,h,2.0,2.0,0.15,3.627844373986591,2.0,1.0,0.6666666666666666,0.5333333333333333,0.7346938775510204,0.7142857142857143,0.5421686746987951
34,h,1.0,1.0,0.125,0.4220848749973811,4.0,1.0,0.6666666666666666,0.7614678899082569,0.5684931506849316,0.5789473684210527,0.7647058823529411
35,h,2.0,2.0,0.25,0.9716775830020196,3.0,1.0,0.6666666666666666,0.5333333333333333,0.7346938775510204,0.7333333333333333,0.6666666666666666
36,h,2.0,2.0,0.1,2.366381583036855,3.0,1.0,0.6666666666666666,0.5333333333333333,0.7346938775510204,0.5384615384615384,0.6666666666666666
37,h,2.0,2.0,0.275,3.1416519160266034,2.0,1.0,0.6666666666666666,0.5333333333333333,0.7346938775510204,0.5454545454545454,0.5421686746987951
38,h,2.0,2.0,0.225,1.3173460409743711,4.0,1.0,0.6666666666666666,0.5333333333333333,0.7346938775510204,0.5,0.7647058823529411
39,h,2.0,2.0,0.45,2.08514404197922,3.0,1.0,0.6666666666666666,0.5333333333333333,0.7346938775510204,0.6666666666666666,0.6666666666666666
40,h,2.0,2.0,0.25,3.6974723750026897,3.0,1.0,0.6666666666666666,0.5333333333333333,0.7346938775510204,0.7333333333333333,0.6666666666666666
41,h,2.0,2.0,0.25,0.7603353330050595,3.0,1.0,0.6666666666666666,0.5333333333333333,0.7346938775510204,0.7333333333333333,0.6666666666666666
42,h,2.0,2.0,0.35,6.154463167011272,4.0,1.0,0.6666666666666666,0.5333333333333333,0.7346938775510204,0.875,0.7647058823529411
43,h,1.0,2.0,0.325,7.555243915994652,3.0,0.0,0.6666666666666666,0.7614678899082569,0.7346938775510204,0.6,0.6666666666666666
44,h,2.0,1.0,0.225,3.647049207997042,2.0,0.0,0.6666666666666666,0.5333333333333333,0.5684931506849316,0.5,0.5421686746987951
45,h,2.0,2.0,0.3,2.6054238739889115,3.0,1.0,0.6666666666666666,0.5333333333333333,0.7346938775510204,0.6363636363636364,0.6666666666666666
46,h,2.0,2.0,0.3,0.8225148330093361,2.0,1.0,0.6666666666666666,0.5333333333333333,0.7346938775510204,0.6363636363636364,0.5421686746987951
47,h,2.0,2.0,0.125,2.8855340000009164,2.0,1.0,0.6666666666666666,0.5333333333333333,0.7346938775510204,0.5789473684210527,0.5421686746987951
48,gr,1.0,1.0,0.325,1.2192564999568276,4.0,1.0,0.7391304347826086,0.7614678899082569,0.5684931506849316,0.6,0.7647058823529411
49,gr,2.0,2.0,0.375,1.63495574897388,1.0,1.0,0.7391304347826086,0.5333333333333333,0.7346938775510204,0.875,0.4117647058823529
50,gr,2.0,2.0,0.425,2.1844552910188213,3.0,1.0,0.7391304347826086,0.5333333333333333,0.7346938775510204,0.4166666666666667,0.6666666666666666
51,gr,2.0,1.0,0.05,3.8112669569673017,1.0,0.0,0.7391304347826086,0.5333333333333333,0.5684931506849316,0.5789473684210527,0.4117647058823529
52,gr,2.0,2.0,0.375,0.7642872500000522,4.0,1.0,0.7391304347826086,0.5333333333333333,0.7346938775510204,0.875,0.7647058823529411
53,gr,2.0,1.0,0.15,1.7198650410282426,1.0,0.0,0.7391304347826086,0.5333333333333333,0.5684931506849316,0.7142857142857143,0.4117647058823529
54,gr,2.0,1.0,0.4,0.4795521660125814,3.0,0.0,0.7391304347826086,0.5333333333333333,0.5684931506849316,0.5454545454545454,0.6666666666666666
55,gr,2.0,1.0,0.05,7.686698333011009,4.0,0.0,0.7391304347826086,0.5333333333333333,0.5684931506849316,0.5789473684210527,0.7647058823529411
56,gr,1.0,1.0,0.35,0.4020186660345644,5.0,1.0,0.7391304347826086,0.7614678899082569,0.5684931506849316,0.875,0.8260869565217391
57,gr,1.0,1.0,0.4,0.4563410409609787,5.0,1.0,0.7391304347826086,0.7614678899082569,0.5684931506849316,0.5454545454545454,0.8260869565217391
58,gr,2.0,2.0,0.3,1.6501790410256945,4.0,1.0,0.7391304347826086,0.5333333333333333,0.7346938775510204,0.6363636363636364,0.7647058823529411
59,gr,1.0,1.0,0.125,0.3697472909698263,5.0,1.0,0.7391304347826086,0.7614678899082569,0.5684931506849316,0.5789473684210527,0.8260869565217391
60,gr,1.0,1.0,0.075,0.4214337500161491,5.0,1.0,0.7391304347826086,0.7614678899082569,0.5684931506849316,0.7272727272727273,0.8260869565217391
61,gr,1.0,1.0,0.2,0.3273636240046471,5.0,1.0,0.7391304347826086,0.7614678899082569,0.5684931506849316,0.625,0.8260869565217391
62,gr,2.0,2.0,0.175,0.6579742080066353,4.0,1.0,0.7391304347826086,0.5333333333333333,0.7346938775510204,0.6666666666666666,0.7647058823529411
63,gr,1.0,1.0,0.1,0.4843744990066625,3.0,1.0,0.7391304347826086,0.7614678899082569,0.5684931506849316,0.5384615384615384,0.6666666666666666
64,gr,2.0,1.0,0.475,2.9197737489594147,4.0,0.0,0.7391304347826086,0.5333333333333333,0.5684931506849316,0.6153846153846154,0.7647058823529411
65,gr,2.0,2.0,0.4,0.6844998320448212,5.0,1.0,0.7391304347826086,0.5333333333333333,0.7346938775510204,0.5454545454545454,0.8260869565217391
66,gr,1.0,1.0,0.025,5.660993541008793,3.0,1.0,0.7391304347826086,0.7614678899082569,0.5684931506849316,0.5454545454545454,0.6666666666666666
67,gr,2.0,2.0,0.15,0.5534213740029372,5.0,1.0,0.7391304347826086,0.5333333333333333,0.7346938775510204,0.7142857142857143,0.8260869565217391
68,gr,2.0,2.0,0.15,1.5172544989618473,4.0,1.0,0.7391304347826086,0.5333333333333333,0.7346938775510204,0.7142857142857143,0.7647058823529411
69,gr,2.0,1.0,0.125,0.5521852079546079,4.0,0.0,0.7391304347826086,0.5333333333333333,0.5684931506849316,0.5789473684210527,0.7647058823529411
70,gr,2.0,1.0,0.25,0.5048060819972306,5.0,0.0,0.7391304347826086,0.5333333333333333,0.5684931506849316,0.7333333333333333,0.8260869565217391
71,gr,1.0,1.0,0.275,0.3781550829880871,4.0,1.0,0.7391304347826086,0.7614678899082569,0.5684931506849316,0.5454545454545454,0.7647058823529411
72,gr,2.0,2.0,0.125,0.2752919580088928,5.0,1.0,0.7391304347826086,0.5333333333333333,0.7346938775510204,0.5789473684210527,0.8260869565217391
73,gr,1.0,2.0,0.125,1.0411867910297588,5.0,0.0,0.7391304347826086,0.7614678899082569,0.7346938775510204,0.5789473684210527,0.8260869565217391
74,gr,1.0,1.0,0.35,0.5552512489957735,3.0,1.0,0.7391304347826086,0.7614678899082569,0.5684931506849316,0.875,0.6666666666666666
75,gr,2.0,1.0,0.125,0.4019421659759246,4.0,0.0,0.7391304347826086,0.5333333333333333,0.5684931506849316,0.5789473684210527,0.7647058823529411
76,gr,2.0,2.0,0.375,0.8363942069699988,4.0,1.0,0.7391304347826086,0.5333333333333333,0.7346938775510204,0.875,0.7647058823529411
77,gr,2.0,1.0,0.05,1.0305869579897262,5.0,0.0,0.7391304347826086,0.5333333333333333,0.5684931506849316,0.5789473684210527,0.8260869565217391
78,gr,2.0,1.0,0.5,0.9760731659480372,4.0,0.0,0.7391304347826086,0.5333333333333333,0.5684931506849316,0.8333333333333334,0.7647058823529411
79,gr,1.0,1.0,0.5,0.3210244569927454,5.0,1.0,0.7391304347826086,0.7614678899082569,0.5684931506849316,0.8333333333333334,0.8260869565217391
80,gr,2.0,2.0,0.3,1.0206817080033943,2.0,1.0,0.7391304347826086,0.5333333333333333,0.7346938775510204,0.6363636363636364,0.5421686746987951
81,gr,2.0,2.0,0.325,0.2904954580008052,4.0,1.0,0.7391304347826086,0.5333333333333333,0.7346938775510204,0.6,0.7647058823529411
82,gr,2.0,2.0,0.25,0.6482042070128955,3.0,1.0,0.7391304347826086,0.5333333333333333,0.7346938775510204,0.7333333333333333,0.6666666666666666
83,gr,1.0,1.0,0.2,0.3403910410124808,5.0,1.0,0.7391304347826086,0.7614678899082569,0.5684931506849316,0.625,0.8260869565217391
84,gr,2.0,1.0,0.025,1.3512948320130818,5.0,0.0,0.7391304347826086,0.5333333333333333,0.5684931506849316,0.5454545454545454,0.8260869565217391
85,gr,1.0,1.0,0.375,0.2690289159654639,5.0,1.0,0.7391304347826086,0.7614678899082569,0.5684931506849316,0.875,0.8260869565217391
86,gr,2.0,2.0,0.375,1.0934938740101643,5.0,1.0,0.7391304347826086,0.5333333333333333,0.7346938775510204,0.875,0.8260869565217391
87,gr,2.0,2.0,0.4,1.083893832983449,5.0,1.0,0.7391304347826086,0.5333333333333333,0.7346938775510204,0.5454545454545454,0.8260869565217391
88,gr,1.0,1.0,0.025,0.5071233329945244,5.0,1.0,0.7391304347826086,0.7614678899082569,0.5684931506849316,0.5454545454545454,0.8260869565217391
89,gr,1.0,1.0,0.425,0.2509160820045508,5.0,1.0,0.7391304347826086,0.7614678899082569,0.5684931506849316,0.4166666666666667,0.8260869565217391
90,gr,1.0,1.0,0.425,0.2570084580220282,5.0,1.0,0.7391304347826086,0.7614678899082569,0.5684931506849316,0.4166666666666667,0.8260869565217391
91,gr,1.0,1.0,0.3,0.2435364989796653,5.0,1.0,0.7391304347826086,0.7614678899082569,0.5684931506849316,0.6363636363636364,0.8260869565217391
92,gr,1.0,1.0,0.125,1.0435091240215115,5.0,1.0,0.7391304347826086,0.7614678899082569,0.5684931506849316,0.5789473684210527,0.8260869565217391
93,gr,1.0,1.0,0.175,0.2595263330149464,5.0,1.0,0.7391304347826086,0.7614678899082569,0.5684931506849316,0.6666666666666666,0.8260869565217391
94,s,1.0,1.0,0.225,0.4532844999921508,2.0,1.0,0.66,0.7614678899082569,0.5684931506849316,0.5,0.5421686746987951
95,s,1.0,2.0,0.4,1.6997740420047194,2.0,0.0,0.66,0.7614678899082569,0.7346938775510204,0.5454545454545454,0.5421686746987951
96,s,1.0,1.0,0.1,1.2240150420111604,2.0,1.0,0.66,0.7614678899082569,0.5684931506849316,0.5384615384615384,0.5421686746987951
97,s,1.0,2.0,0.1,0.9750789160025306,2.0,0.0,0.66,0.7614678899082569,0.7346938775510204,0.5384615384615384,0.5421686746987951
98,s,2.0,2.0,0.025,1.2226241659955122,3.0,1.0,0.66,0.5333333333333333,0.7346938775510204,0.5454545454545454,0.6666666666666666
99,s,2.0,2.0,0.225,1.456728250021115,3.0,1.0,0.66,0.5333333333333333,0.7346938775510204,0.5,0.6666666666666666
100,s,2.0,2.0,0.45,1.060242958017625,4.0,1.0,0.66,0.5333333333333333,0.7346938775510204,0.6666666666666666,0.7647058823529411
101,s,1.0,2.0,0.2,0.9759617079980673,3.0,0.0,0.66,0.7614678899082569,0.7346938775510204,0.625,0.6666666666666666
102,s,1.0,1.0,0.025,1.7451440829900091,2.0,1.0,0.66,0.7614678899082569,0.5684931506849316,0.5454545454545454,0.5421686746987951
103,s,2.0,2.0,0.35,1.018751333002001,4.0,1.0,0.66,0.5333333333333333,0.7346938775510204,0.875,0.7647058823529411
104,s,1.0,1.0,0.2,2.5603512920206413,2.0,1.0,0.66,0.7614678899082569,0.5684931506849316,0.625,0.5421686746987951
105,s,1.0,1.0,0.05,0.7754428330226801,2.0,1.0,0.66,0.7614678899082569,0.5684931506849316,0.5789473684210527,0.5421686746987951
106,s,1.0,1.0,0.15,2.561714290990494,3.0,1.0,0.66,0.7614678899082569,0.5684931506849316,0.7142857142857143,0.6666666666666666
107,s,2.0,2.0,0.125,1.241942749998998,3.0,1.0,0.66,0.5333333333333333,0.7346938775510204,0.5789473684210527,0.6666666666666666
108,s,2.0,1.0,0.325,2.5017925419961102,3.0,0.0,0.66,0.5333333333333333,0.5684931506849316,0.6,0.6666666666666666
109,s,2.0,1.0,0.225,2.0043107079691254,3.0,0.0,0.66,0.5333333333333333,0.5684931506849316,0.5,0.6666666666666666
110,s,2.0,2.0,0.475,0.5311214579851367,3.0,1.0,0.66,0.5333333333333333,0.7346938775510204,0.6153846153846154,0.6666666666666666
111,s,1.0,2.0,0.15,2.7408203749801032,2.0,0.0,0.66,0.7614678899082569,0.7346938775510204,0.7142857142857143,0.5421686746987951
112,s,1.0,1.0,0.125,0.713355915970169,3.0,1.0,0.66,0.7614678899082569,0.5684931506849316,0.5789473684210527,0.6666666666666666
113,s,1.0,1.0,0.4,0.784381541016046,4.0,1.0,0.66,0.7614678899082569,0.5684931506849316,0.5454545454545454,0.7647058823529411
114,s,1.0,1.0,0.175,0.8710249160067178,3.0,1.0,0.66,0.7614678899082569,0.5684931506849316,0.6666666666666666,0.6666666666666666
115,s,1.0,1.0,0.475,0.5767410419648513,4.0,1.0,0.66,0.7614678899082569,0.5684931506849316,0.6153846153846154,0.7647058823529411
