trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,polygon.started,polygon.stopped,image_2.started,image_2.stopped,text_5.started,text_5.stopped,text_6.started,text_6.stopped,text_4.started,text_4.stopped,stim_interval,correct_resp,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,vivid_report,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_7.started,text_7.stopped,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,11.805623209045734,None,92.80273737502284,None,91.82765066705178,None,93.80311300000176,None,,,,,,,,,,,,,,,,,,,,,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
0,0,0,0,,,,,,,,,,,,,96.88639158400474,None,,,,,,,,,,,,,,,,,,,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
1,0,1,0,,,,,,,104.0864081250038,None,103.08597320900299,None,105.08647008403204,None,,,,,,,,,,,,,,,,,,,,,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
1,0,1,0,,,,,,,,,,,,,105.23703008401208,None,,,,,,,,,,,,,,,,,,,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
2,0,2,0,,,,,,,109.75321900000563,None,108.7531187920249,None,110.75341329205548,None,,,,,,,,,,,,,,,,,,,,,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
2,0,2,0,,,,,,,,,,,,,122.57033512502676,None,,,,,,,,,,,,,,,,,,,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,0,0,0,0,11.805623209045734,,152.75485491700238,None,,,,,,,125.27050958405016,None,0.2,1,152.54054275003728,None,1,0.08651404199190438,153.7552574170404,None,153.7552574170404,None,,,,,,,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2,1.8358760830014944,153.87095695902826,None,153.87095695902826,None,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,1,0,1,0,11.805623209045734,,157.22171325003728,None,,,,,,,,,0.47500000000000003,2,156.73812204203568,None,1,2.5899946659919806,158.22209520899924,None,158.22209520899924,None,,,,,,,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,2,3.2190484579768963,160.838072500017,None,160.838072500017,None,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,2,0,2,0,11.805623209045734,,165.13830145902466,None,,,,,,,,,0.05,1,165.0888117920258,None,1,1.3464393750182353,166.13881037500687,None,166.13881037500687,None,,,,,,,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,2,3.779161499987822,167.50526566704502,None,167.50526566704502,None,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,3,0,3,0,11.805623209045734,,172.50602950004395,None,,,,,,,,,0.2,1,172.30550516705262,None,2,2.433327208040282,173.5053314170218,None,173.5053314170218,None,,,,,,,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,3,1.203355500008911,175.96537820901722,None,175.96537820901722,None,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,4,0,4,0,11.805623209045734,,178.53939366701525,None,,,,,,,,,0.35000000000000003,1,178.18894512503175,None,1,1.6421094160177745,179.53895137505606,None,179.53895137505606,None,,,,,,,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,3,0.6768558739568107,181.20516925002448,None,181.20516925002448,None,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,5,0,5,0,11.805623209045734,,183.3560036670533,None,,,,,,,,,0.45000000000000007,2,182.9060125000542,None,1,3.3227983330143616,184.35572516702814,None,184.35572516702814,None,,,,,,,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,3,2.006905666028615,187.7055322920205,None,187.7055322920205,None,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,6,0,6,0,11.805623209045734,,191.08916708402103,None,,,,,,,,,0.35000000000000003,1,190.7394207920297,None,1,2.9944867489975877,192.0897511250223,None,192.0897511250223,None,,,,,,,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,2,1.6103740409598686,195.10610541701317,None,195.10610541701317,None,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,7,0,7,0,11.805623209045734,,198.07304570905399,None,,,,,,,,,0.32500000000000007,2,197.73965866700746,None,2,3.453080790990498,199.0732692090096,None,199.0732692090096,None,,,,,,,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,3,1.9794265829841606,202.55597341700923,None,202.55597341700923,None,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,8,0,8,0,11.805623209045734,,205.79029991704738,None,,,,,,,,,0.225,1,205.55692250002176,None,1,1.2758654989884235,206.79051220900146,None,206.79051220900146,None,,,,,,,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,2,1.3768949160003103,208.08973720902577,None,208.08973720902577,None,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,9,0,9,0,11.805623209045734,,210.7898856670363,None,,,,,,,,,0.30000000000000004,1,210.49002308404306,None,2,1.053058208024595,211.7901476250263,None,211.7901476250263,None,,,,,,,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,2,1.0342287499806844,212.87302254204405,None,212.87302254204405,None,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,10,0,10,0,11.805623209045734,,215.2237800420262,None,,,,,,,,,0.30000000000000004,2,214.92297574999975,None,1,1.8868311670375988,216.2232429170399,None,216.2232429170399,None,,,,,,,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,2,1.6173637919710018,218.13971958402544,None,218.13971958402544,None,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,11,0,11,0,11.805623209045734,,220.85726675001206,None,,,,,,,,,0.07500000000000001,1,220.77371033403324,None,1,2.3576529159909114,221.85723720904207,None,221.85723720904207,None,,,,,,,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,1,2.217617250047624,224.24026379204588,None,224.24026379204588,None,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,12,0,12,0,11.805623209045734,,227.89069545903476,None,,,,,,,,,0.4,1,227.4910387500422,None,2,1.1733324580127373,228.89056387502933,None,228.89056387502933,None,,,,,,,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,2,0.7513248749892227,230.09056445903843,None,230.09056445903843,None,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,13,0,13,0,11.805623209045734,,232.35770087502897,None,,,,,,,,,0.47500000000000003,2,231.87396625004476,None,1,2.1017492079990916,233.35735662502702,None,233.35735662502702,None,,,,,,,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,2,6.437709915975574,235.4908079590532,None,235.4908079590532,None,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,14,0,14,0,11.805623209045734,,243.00805304205278,None,,,,,,,,,0.05,2,242.9579753750004,None,1,1.0129007499781437,244.00785345904296,None,244.00785345904296,None,,,,,,,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,1,1.4982282919809222,245.04135375004262,None,245.04135375004262,None,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,15,0,15,0,11.805623209045734,,247.75849537504837,None,,,,,,,,,0.2,2,247.55797716701636,None,2,0.7729000420076773,248.75869091704953,None,248.75869091704953,None,,,,,,,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,3,0.7858419159892946,249.55781583400676,None,249.55781583400676,None,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,16,0,16,0,11.805623209045734,,251.4750400420162,None,,,,,,,,,0.1,2,251.37478633405408,None,2,1.4866493750014342,252.4750020840438,None,252.4750020840438,None,,,,,,,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,[],[],253.99139654205646,None,253.99139654205646,None,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,17,0,17,0,11.805623209045734,,256.25837637501536,None,,,,,,,,,0.35000000000000003,2,255.9082915840554,None,2,2.457086333015468,257.257940209005,None,257.257940209005,None,,,,,,,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,3,8.74982316599926,259.7411460840376,None,259.7411460840376,None,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,18,0,18,0,11.805623209045734,,269.65927670901874,None,,,,,,,,,0.15,1,269.50915191700915,None,1,1.7754967489745468,270.6587610420538,None,270.6587610420538,None,,,,,,,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,2,6.057143874000758,272.4582807920524,None,272.4582807920524,None,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,19,0,19,0,11.805623209045734,,279.79295433399966,None,,,,,,,,,0.25,2,279.54313791700406,None,1,1.3435866669751704,280.7923324170406,None,280.7923324170406,None,,,,,,,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,3,1.7756445000413805,282.15915679204045,None,282.15915679204045,None,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,20,0,20,0,11.805623209045734,,285.20960191701306,None,,,,,,,,,0.25,1,284.95905462501105,None,1,2.055038125021383,286.209227125044,None,286.209227125044,None,,,,,,,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,2,1.5140965420287102,288.2923111250275,None,288.2923111250275,None,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,21,0,21,0,11.805623209045734,,291.2599883340299,None,,,,,,,,,0.42500000000000004,2,290.82673379202606,None,1,1.1579309160006233,292.25946191704134,None,292.25946191704134,None,,,,,,,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,3,1.9938958330312744,293.4427976250299,None,293.4427976250299,None,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,22,0,22,0,11.805623209045734,,296.6100952500128,None,,,,,,,,,0.15,1,296.45925966702634,None,2,1.6361445410293527,297.6103072090191,None,297.6103072090191,None,,,,,,,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,2,0.5213380000204779,299.2760510840453,None,299.2760510840453,None,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,23,0,23,0,11.805623209045734,,301.2771748750238,None,,,,,,,,,0.45000000000000007,2,300.826263917028,None,1,0.6105516669922508,302.2769679170451,None,302.2769679170451,None,,,,,,,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,3,2.413988291984424,302.90953570901183,None,302.90953570901183,None,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,24,0,24,0,11.805623209045734,,306.6935567090404,None,,,,,,,,,0.35000000000000003,2,306.343081125,None,2,2.484514083014801,307.69319083401933,None,307.69319083401933,None,,,,,,,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,3,1.9692912920145318,310.1934600000386,None,310.1934600000386,None,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,25,0,25,0,11.805623209045734,,313.67719683400355,None,,,,,,,,,0.47500000000000003,1,313.1936250840081,None,1,0.8490926240338013,314.67761208402226,None,314.67761208402226,None,,,,,,,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,25,0,25,0,,,,,,,,,,,,,,,,,,,,,,,4,1.0400199170107953,315.54372870904626,None,315.54372870904626,None,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,26,0,26,0,11.805623209045734,,317.6605114170234,None,,,,,,,,,0.05,2,317.6112475420232,None,2,1.9447749580140226,318.66042091703275,None,318.66042091703275,None,,,,,,,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,26,0,26,0,,,,,,,,,,,,,,,,,,,,,,,2,0.6377135409857146,320.6270669590449,None,320.6270669590449,None,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,27,0,27,0,11.805623209045734,,322.4280104589998,None,,,,,,,,,0.125,2,322.293863125029,None,1,2.5127169159823097,323.42742712504696,None,323.42742712504696,None,,,,,,,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,27,0,27,0,,,,,,,,,,,,,,,,,,,,,,,1,0.6558968750177883,325.96025487501174,None,325.96025487501174,None,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,28,0,28,0,11.805623209045734,,327.81123816705076,None,,,,,,,,,0.15,1,327.6488527500187,None,1,1.8878471240168437,328.81142637500307,None,328.81142637500307,None,,,,,,,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,28,0,28,0,,,,,,,,,,,,,,,,,,,,,,,2,1.7133293329970911,330.7270862920559,None,330.7270862920559,None,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,29,0,29,0,11.805623209045734,,333.5450427920441,None,,,,,,,,,0.07500000000000001,2,333.4613357090275,None,1,1.2379474579938687,334.5443796670297,None,334.5443796670297,None,,,,,,,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,29,0,29,0,,,,,,,,,,,,,,,,,,,,,,,2,0.869531707954593,335.8107845420018,None,335.8107845420018,None,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,30,0,30,0,11.805623209045734,,337.9109686250449,None,,,,,,,,,0.2,1,337.7115058750496,None,1,2.8730861239600927,338.9110031250166,None,338.9110031250166,None,,,,,,,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,30,0,30,0,,,,,,,,,,,,,,,,,,,,,,,2,0.8209872909937985,341.81104370905086,None,341.81104370905086,None,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,31,0,31,0,11.805623209045734,,344.1117315420415,None,,,,,,,,,0.45000000000000007,1,343.6611654170556,None,1,0.5368281239643693,345.1112910840311,None,345.1112910840311,None,,,,,,,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,31,0,31,0,,,,,,,,,,,,,,,,,,,,,,,4,0.5803269169991836,345.67781766701955,None,345.67781766701955,None,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,32,0,32,0,11.805623209045734,,347.41207491705427,None,,,,,,,,,0.125,1,347.27794850000646,None,1,2.6731761670089327,348.4120737090125,None,348.4120737090125,None,,,,,,,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,32,0,32,0,,,,,,,,,,,,,,,,,,,,,,,2,1.969498582999222,351.1117245000205,None,351.1117245000205,None,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,33,0,33,0,11.805623209045734,,354.4120647920063,None,,,,,,,,,0.30000000000000004,1,354.1119771670201,None,1,3.9802587919984944,355.4117832920165,None,355.4117832920165,None,,,,,,,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,33,0,33,0,,,,,,,,,,,,,,,,,,,,,,,1,1.0678935410105623,359.41207558405586,None,359.41207558405586,None,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,34,0,34,0,11.805623209045734,,361.66265070904046,None,,,,,,,,,0.15,2,361.511818167055,None,2,3.6278443739865907,362.6620573750115,None,362.6620573750115,None,,,,,,,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,34,0,34,0,,,,,,,,,,,,,,,,,,,,,,,2,2.32801733299857,366.3118307500263,None,366.3118307500263,None,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,35,0,35,0,11.805623209045734,,369.79621695901733,None,,,,,,,,,0.125,1,369.66180475003785,None,1,0.4220848749973811,370.795582959021,None,370.795582959021,None,,,,,,,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,35,0,35,0,,,,,,,,,,,,,,,,,,,,,,,4,0.8986985410447232,371.24508341704495,None,371.24508341704495,None,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,36,0,36,0,11.805623209045734,,373.41303766705096,None,,,,,,,,,0.25,2,373.16299745900324,None,2,0.9716775830020197,374.4129115000251,None,374.4129115000251,None,,,,,,,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,36,0,36,0,,,,,,,,,,,,,,,,,,,,,,,3,0.9172655409784056,375.4125016250182,None,375.4125016250182,None,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,37,0,37,0,11.805623209045734,,377.44682341703447,None,,,,,,,,,0.1,2,377.34604612505063,None,2,2.366381583036855,378.44659679202596,None,378.44659679202596,None,,,,,,,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,37,0,37,0,,,,,,,,,,,,,,,,,,,,,,,3,6.0507432910380885,380.83040637505474,None,380.83040637505474,None,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,38,0,38,0,11.805623209045734,,388.1969042920391,None,,,,,,,,,0.275,2,387.9138157920097,None,2,3.1416519160266034,389.19623320904793,None,389.19623320904793,None,,,,,,,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,38,0,38,0,,,,,,,,,,,,,,,,,,,,,,,2,0.9979835000121966,392.363055334019,None,392.363055334019,None,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,39,0,39,0,11.805623209045734,,394.6139569170191,None,,,,,,,,,0.225,2,394.3804382090457,None,2,1.3173460409743711,395.6135823750519,None,395.6135823750519,None,,,,,,,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,39,0,39,0,,,,,,,,,,,,,,,,,,,,,,,4,0.9867190000368282,396.9633539170027,None,396.9633539170027,None,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,40,0,40,0,11.805623209045734,,399.41351745900465,None,,,,,,,,,0.42500000000000004,1,398.9797736670007,None,1,2.8611003740224987,400.41318683401914,None,400.41318683401914,None,,,,,,,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,40,0,40,0,,,,,,,,,,,,,,,,,,,,,,,[],[],403.29669870901853,None,403.29669870901853,None,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,41,0,41,0,11.805623209045734,,406.763771500031,None,,,,,,,,,0.45000000000000007,2,406.3137319170055,None,2,2.0851440419792198,407.76364658400416,None,407.76364658400416,None,,,,,,,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,41,0,41,0,,,,,,,,,,,,,,,,,,,,,,,3,1.60550654202234,409.88002266699914,None,409.88002266699914,None,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,42,0,42,0,11.805623209045734,,412.7643158750143,None,,,,,,,,,0.25,2,412.51389712502714,None,2,3.6974723750026897,413.76399100001436,None,413.76399100001436,None,,,,,,,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,42,0,42,0,,,,,,,,,,,,,,,,,,,,,,,3,1.3378479160019197,417.4806219590246,None,417.4806219590246,None,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,43,0,43,0,11.805623209045734,,420.09836345905205,None,,,,,,,,,0.25,2,419.8475621250109,None,2,0.7603353330050595,421.0983522920287,None,421.0983522920287,None,,,,,,,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,43,0,43,0,,,,,,,,,,,,,,,,,,,,,,,3,1.4439252499723807,421.88066529203206,None,421.88066529203206,None,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,44,0,44,0,11.805623209045734,,424.6981369590503,None,,,,,,,,,0.35000000000000003,2,424.34730491699884,None,2,6.154463167011272,425.6982856670511,None,425.6982856670511,None,,,,,,,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,44,0,44,0,,,,,,,,,,,,,,,,,,,,,,,4,1.1354390420019627,431.8811610840494,None,431.8811610840494,None,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,45,0,45,0,11.805623209045734,,434.38196033402346,None,,,,,,,,,0.32500000000000007,1,434.0485145840212,None,2,7.555243915994652,435.38186941703316,None,435.38186941703316,None,,,,,,,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,45,0,45,0,,,,,,,,,,,,,,,,,,,,,,,3,2.2301929580280557,442.96506466704886,None,442.96506466704886,None,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,46,0,46,0,11.805623209045734,,446.4493033750332,None,,,,,,,,,0.225,2,446.2151179590146,None,1,3.6470492079970427,447.4485330840107,None,447.4485330840107,None,,,,,,,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,46,0,46,0,,,,,,,,,,,,,,,,,,,,,,,2,2.596556790987961,451.11560204200214,None,451.11560204200214,None,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,47,0,47,0,11.805623209045734,,455.03238091705134,None,,,,,,,,,0.30000000000000004,2,454.7327527090092,None,2,2.6054238739889115,456.03217920905445,None,456.03217920905445,None,,,,,,,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,47,0,47,0,,,,,,,,,,,,,,,,,,,,,,,3,0.8624920829897746,458.6652102920343,None,458.6652102920343,None,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,48,0,48,0,11.805623209045734,,460.8492680840427,None,,,,,,,,,0.30000000000000004,2,460.54930045903893,None,2,0.8225148330093361,461.84917408402544,None,461.84917408402544,None,,,,,,,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,48,0,48,0,,,,,,,,,,,,,,,,,,,,,,,2,1.7231584579567425,462.6985753340414,None,462.6985753340414,None,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,49,0,49,0,11.805623209045734,,465.58315162500367,None,,,,,,,,,0.125,2,465.44909600005485,None,2,2.8855340000009164,466.5830315000494,None,466.5830315000494,None,,,,,,,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,49,0,49,0,,,,,,,,,,,,,,,,,,,,,,,2,16.251214457966853,469.4987852090271,None,469.4987852090271,None,,,h,001,2022_Jun_03_1527,test_exp,2021.2.3,59.80035663909398,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485.76969587500207,None,,,,,,,
